name,rating,review
A Tale of Baby's Days with Peter Rabbit,4,"Lovely book, it's bound tightly so you may not be able to add alot of photos/cards aside from the designated spaces in the book. Shop around before you purchase, as it is currently listed at Barnes & Noble for 29.95!"
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log",4,This has been an easy way for my nanny to record all the key events that happen with my baby when I'm not at home.  Would highly recommend it to someone who wants to stay informed of what your baby is up to while you're not home.The only reason this isn't a 5 is because I think there could have been some more standarad pre-printed options.I plan on ordering another one when we run out of pages in this journal.
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log",4,"I love this journal and our nanny uses it everyday to track on our daughter's sleep, eating and other activities. The layout and design make it very easy to fill in quickly with a comments column to add in details (i.e. we ask the nanny to specify what food she had for lunch, amount of milk she took, specifics of play time--tummy time, walk to park, etc.) I love knowing the details of my baby's day, and I also use it to track weekly on overall schedule patterns and changes (i.e. baby's nap time has moved naturally as she gets older).My only complaint is that there is no real space to communicate back to the nanny, as I sometimes want to reply to the nanny's comments and/or leave her notes about the previous night (i.e. Baby didn't sleep well or baby has rash, etc) or other instructions (Please use sun screen on the baby - it's hot out today) that I often forget to tell her in the rush of the morning. I just stick in post-its now for my notes. All in all, I highly recommend this baby tracker."
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log",4,"I originally just gave the nanny a pad of paper to write down this information for my little one. She would take him to the park and leave the pad behind - I was getting incomplete/inaccurate information when she wohld get home at the end of the day and try to remember naps/feedings/diaper changes. I wanted something she could take with her and also a way to better control how she reported information. This was the perfect solution! Now I'm getting all the information I wanted. There is a very helpful example of how to fill it out. It also has a pouch for additional documents and a section up front for emergency contact info. Each page goes from 7 - 6. This works for me because the nanny starts at 7am and ends before 6pm. I use an app on my phone for tracking when I'm with the baby. I transfer the info from this notebook to my phone. My only complaint: the space is pretty small - they provide useful shorthand, but it's a little difficult to fit some of the info in the space provided. Also, some of the other reviews complain about the 7 - 6 time format. This isn't a real problem for me, but I suppose if you wanted to track an entire day, you would have to use two pages - not too big of a deal. 7am - 6pm is pretty much perfect for daycare/nanny/caregiver situation."
Nature's Lullabies First Year Sticker Calendar,4,"I bought this calender for myself for my second son. It is very colorful and has room on each page to write height, weight, and what baby likes to do. There is also room on each page for a photo to be placed. The calender date boxes have room for a sticker and some fine writing. My only complaint is that it does not have as many stickers as I would like, but I just put asterisks before whatever special event happened that day. I bought one for a friend as she found it very useful as well."
Nature's Lullabies Second Year Sticker Calendar,4,I completed a calendar for my son's first year and really enjoyed tracking all of his milestones and special moments - so much so that I wanted to continue in the second year since he's still doing amazing and fun things every day.  I really like the simple layout of the calendar and while it might not have all the questions and milestone stickers you want - at least it's something to keep recording all those special moments!
"Lamaze Peekaboo, I Love You",4,"One of baby's first and favorite books, and it is washable! I gave 1 less star than perfect because I'd like to see some diversity in the people - not just your typical white family ;)"
"Lamaze Peekaboo, I Love You",4,The book is colorful and is perfect for 6months and older. The only thing I didn't like was the strong smell of the dyes and/or material. I dunked the pages in detergent. Then let the book dry overnight.
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,4,"We wanted to get another book like the Big Birds Friends softplay book, and we only found the two Elmo books. This one is fun, but the Big Bird book has more variety and is more creative."
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,4,This is a cute little peek-a-boo story book.  It's soft.  It's safe.  And it is easy for baby to handle.
"SoftPlay 4 Pack Block Book, Sweet Sesame",4,"I have teething babies and these were great for entertaining the, and letting them chew and droll all over the, without worrying about ruining them. They were great for setting them off to their side to encourage rolling over and crawling. Great Christmas gift for the younger baby and didn't break the bank."
Our Baby Girl Memory Book,4,Bought as a gift for my daughter in law. She loved it. Simple but a place to put important memories down. I loved the verses at bottom of pages.
Jellycat Elephant and Mouse Book,4,The book is just a few pages long with a few words to each page.  Just short enough to keep the attention of my 6 month old son.  We have the Elephant as well so when he's older it will be neat to see the realization of the association between the stuffed toy and the book character
Beautiful Girl and Black Flower Removable Vinyl Mural Art Wall Sticker Decal,4,"It is nice and looks great on my wall. It was just a bit smaller than what I thought, but that was my fault and not taking the measurements."
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),4,We bought the pins as my 6 year old Autistic son was able to open or break open normal safety pins we needed to use for his night time clothes.  These new pins are significantly more sturdy and he hasn't learned how to open them and only once has he broken one open.  I seem to recall that their shipping price was more than a bit on the high side of reasonable though given the size of the package...
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),4,"Like = sharp ends that pierce through my diapers easier.  Dislike = the sides bend which is a pain.  That said, I am pushing them through older velcro tabs because the velcro on my diapers doesn't work anymore."
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),4,Diaper pins are hard to find locally!  This is a useful item to have - no matter the purpose...
Semanario (7) Little Girls 14k Gold Overlay Bangle Bracelets for Your Little Princess Sizes 1 - 4 (Size 2 - ages 9-24 Months),4,. I am pleased with product. I love the bangles however they are a bit small. Had to slid them on with lotion. I like a snug fitting bangle but whew these were tough to get on!! If my hand was a hair bigger they wouldn't have fit. They are on to stay. I have small hands also. I got the size for large kid small adult and they fit wrist but tough over the hand. Overall satisfied with product and fast shipping!
IKEA DUKTIG 15-piece breakfast set,4,This was for my 2 yr. old great granddaughter and she has a lot of fun playing with the set and pretend cooking.
"IKEA KLADD PRICKAR Bib, blue, red",4,I like those bibs. they are very useful. easy to wash and dry. the price is awesome. My friends also like them very much.
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book",4,"I used a tracker with my first son - but I didn't so much need to with my second.  This tracker though, is laid out very well and keeps things pretty organized.  My only complaint is that it is not a full year tracker - I did the whole first year with my first son which is nice to refer back to.  I would recommend this book, but if you're interested in tracking the whole first year you will need to buy 3 (they run 4 months long)."
Edu-Petit Teddy Bobo's Big Learning Book Developmental Toy,4,"I bought this for my 17 month old son as a form of quiet, in-crib entertainment when he wakes up at 5am. So far, he likes it a lot... even got an ""ooooooh"" when I first handed it to him."
Modern House Trailing Cherry Blossom Vinyl Mural Art Wall Sticker Decal,4,well its not as big as it looks in the picture but it is awfully cute looking. actually is only about one foot tall.
Neurosmith - Music Blocks with Mozart Music Cartridge,4,"Our whole family loved the Mozart music blocks. I even bought another &quot;disk&quot; of music. Unfortunately, it was a constant challenge to keep the kids from destroying the delicate &quot;chip&quot; that was easily accessible. Finally it broke and I felt it was too expensive to replace. I feel that a toy at this price should be more durable. My suggestion would be to hide the &quot;plug in chip&quot; so that the kids aren't attracted to it. We have a 3-year old and a one-year old. The toy lasted about 6 months."
Neurosmith - Music Blocks with Mozart Music Cartridge,4,"This is an interesting and educational toy.  I got it for my 2 year old, and while she loved mixing up the blocks, she also loved pulling out the cartridge and couldn't put it back in.  That means I had to go put the cartridge back every 5 minutes.  If the cartridge were placed on the side or back, I don't think the littler ones would be so inclined to pull it...out of sight out of mind."
Neurosmith - Music Blocks with Mozart Music Cartridge,4,I bought this 18 months ago for my 6 year old and 2 year old.  They both loved it.  I bought additional cartridges then it stopped working.  We replaced the batteries twice and it still does not work.  It was expensive for a toy that did not last very long.
my first fish bowl by lamaze / learning curve,4,"We received this as a present for our 6 month old.  I don't really think she's old enough to put the individual toys in the fishbowl, but she sure loves playing with them!  I've noticed that she likes &quot;crinkly&quot; toys, so she loves the crab.  So far, it has kept her very entertained.  I really like Lamaze products so far"
my first fish bowl by lamaze / learning curve,4,"I bought this toy for my baby and for friends' babies as well. The babies really love the faces on the toys and get a kick out of the different sounds each one makes. They enjoy looking at them through the clear plastic and taking them out and putting them back in over and over. Most kids seem fascinated by ocean creatures anyway, so I think it's bound to be a guaranteed &quot;hit&quot; for any child. My 2 1/2 year old still loves to play with the crab!"
Fisher Price Nesting Action Vehicles,4,"I've owned this set for several years.  My 4 granddaughters love to play with the cars.  Stacking, nesting, playing with the few moving parts.  It is one of their favorite toys when they come over.  And it is definitely one of mine - Lots of play value that stores very well.  They have learned colors, and numbers with these also."
Fisher Price Nesting Action Vehicles,4,"My son has played with these from 6 months old, and still likes them occasionally (18 months now).  The small car is nice for babies to shake.  They don't do much, but they are cute."
Fisher Price Nesting Action Vehicles,4,"I bought these for my 1 1/2 year old, and he loves them (and so does his 5-year old brother). They both stack the cars, hide them and ""vrroomm"" them. It is great to find a toy that doesn't need batteries or require an engineering degree to put together!Highly recommended."
