TransactionID,Items
1,"Beverages_Coffee,Bakery_Bun,Snacks_Popcorn"
2,"Beverages_Soda,Household_Towel,Bakery_Croissant,Beverages_Coffee,Snacks_Popcorn"
3,"Snacks_Cookies,Beverages_Soda,Dairy_Butter,Fruits_Orange"
4,"Beverages_Water,Snacks_Biscuits,Snacks_Popcorn,Beverages_Tea,Dairy_Cheese"
5,"Personal Care_Shampoo,Fruits_Apple,Dairy_Milk,Fruits_Mango,Dairy_Cheese"
6,"Dairy_Butter,Snacks_Biscuits,Household_Towel,Bakery_Cake,Beverages_Water"
7,"Household_Mop,Dairy_Yogurt,Bakery_Bun,Personal Care_Toothpaste"
8,"Household_Towel,Personal Care_Deodorant,Fruits_Grapes,Dairy_Yogurt"
9,"Fruits_Apple,Fruits_Orange,Snacks_Chocolate,Personal Care_Soap,Fruits_Banana"
10,"Beverages_Soda,Fruits_Apple,Dairy_Yogurt,Bakery_Croissant,Fruits_Banana"
11,"Fruits_Grapes,Snacks_Cookies"
12,"Dairy_Cream,Household_Detergent,Beverages_Water,Personal Care_Soap,Dairy_Cheese,Personal Care_Toothpaste,Dairy_Milk"
13,"Personal Care_Shampoo,Household_Towel,Bakery_Cake"
14,"Bakery_Cake,Bakery_Bread,Beverages_Juice,Snacks_Chips,Dairy_Cheese,Dairy_Butter"
15,"Fruits_Banana,Bakery_Bun,Household_Detergent,Beverages_Juice,Beverages_Coffee,Household_Towel"
16,"Personal Care_Deodorant,Personal Care_Lotion,Beverages_Tea,Personal Care_Toothpaste,Household_Mop,Fruits_Grapes"
17,"Fruits_Orange,Household_Detergent"
18,"Fruits_Mango,Beverages_Water"
19,"Bakery_Donut,Snacks_Chocolate,Personal Care_Toothpaste,Beverages_Water,Fruits_Orange"
20,"Bakery_Croissant,Fruits_Grapes,Bakery_Bun,Fruits_Orange"
21,"Beverages_Coffee,Beverages_Water,Dairy_Cream"
22,"Household_Toilet Paper,Beverages_Coffee"
23,"Fruits_Mango,Beverages_Coffee,Dairy_Butter,Snacks_Cookies,Bakery_Bread,Bakery_Bun,Household_Detergent"
24,"Personal Care_Shampoo,Fruits_Grapes,Bakery_Croissant,Bakery_Bread,Beverages_Water"
25,"Dairy_Cheese,Bakery_Croissant,Bakery_Bread,Dairy_Yogurt,Personal Care_Toothpaste,Fruits_Orange"
26,"Dairy_Butter,Fruits_Mango,Snacks_Popcorn"
27,"Beverages_Soda,Fruits_Orange,Personal Care_Soap,Personal Care_Shampoo,Bakery_Donut,Bakery_Cake"
28,"Personal Care_Lotion,Dairy_Yogurt,Beverages_Coffee"
29,"Bakery_Cake,Household_Towel,Snacks_Cookies,Beverages_Soda,Beverages_Coffee"
30,"Bakery_Bun,Personal Care_Lotion,Personal Care_Shampoo,Personal Care_Soap"
31,"Beverages_Soda,Fruits_Orange,Bakery_Donut"
32,"Personal Care_Deodorant,Fruits_Apple,Dairy_Butter"
33,"Household_Mop,Dairy_Butter,Bakery_Cake,Snacks_Popcorn,Household_Dish Soap,Household_Towel,Dairy_Milk"
34,"Bakery_Bread,Personal Care_Shampoo"
35,"Beverages_Water,Fruits_Grapes,Personal Care_Shampoo,Dairy_Cheese,Beverages_Coffee,Fruits_Apple"
36,"Fruits_Banana,Personal Care_Shampoo,Bakery_Cake"
37,"Personal Care_Lotion,Snacks_Chips,Personal Care_Toothpaste"
38,"Dairy_Milk,Beverages_Tea,Snacks_Biscuits"
39,"Household_Towel,Snacks_Cookies,Bakery_Donut,Snacks_Popcorn"
40,"Dairy_Cheese,Personal Care_Lotion,Snacks_Chocolate,Fruits_Apple,Personal Care_Soap"
41,"Fruits_Grapes,Bakery_Bun,Household_Dish Soap,Bakery_Croissant,Personal Care_Soap"
42,"Fruits_Apple,Bakery_Donut,Dairy_Cheese"
43,"Personal Care_Soap,Household_Toilet Paper,Personal Care_Toothpaste,Snacks_Popcorn,Beverages_Tea,Household_Mop,Fruits_Grapes"
44,"Dairy_Cream,Personal Care_Lotion"
45,"Beverages_Soda,Dairy_Cream,Personal Care_Soap,Bakery_Donut,Snacks_Cookies,Fruits_Banana"
46,"Fruits_Mango,Bakery_Bread,Beverages_Tea,Household_Dish Soap,Household_Toilet Paper"
47,"Dairy_Butter,Dairy_Milk,Snacks_Popcorn,Snacks_Cookies,Bakery_Cake"
48,"Household_Toilet Paper,Dairy_Butter"
49,"Bakery_Bread,Fruits_Apple,Household_Dish Soap,Snacks_Chips"
50,"Dairy_Yogurt,Fruits_Mango,Bakery_Donut,Dairy_Cheese,Bakery_Bun"
51,"Beverages_Coffee,Snacks_Chips,Personal Care_Deodorant,Beverages_Soda,Household_Dish Soap,Dairy_Yogurt,Household_Toilet Paper"
52,"Snacks_Cookies,Snacks_Popcorn,Fruits_Mango"
53,"Dairy_Cream,Personal Care_Toothpaste,Snacks_Popcorn,Fruits_Apple,Dairy_Milk,Bakery_Donut"
54,"Fruits_Apple,Dairy_Cheese,Beverages_Soda,Snacks_Chocolate,Snacks_Chips,Household_Mop,Household_Toilet Paper"
55,"Snacks_Biscuits,Dairy_Butter,Bakery_Croissant"
56,"Snacks_Biscuits,Beverages_Juice"
57,"Household_Dish Soap,Fruits_Banana,Household_Towel,Dairy_Cheese,Bakery_Bun"
58,"Household_Mop,Snacks_Popcorn,Household_Dish Soap,Personal Care_Shampoo,Beverages_Soda,Beverages_Coffee,Fruits_Grapes"
59,"Household_Mop,Snacks_Biscuits,Personal Care_Soap,Personal Care_Deodorant,Household_Towel,Beverages_Coffee,Personal Care_Shampoo"
60,"Personal Care_Deodorant,Bakery_Bun"
61,"Fruits_Mango,Snacks_Cookies,Beverages_Coffee,Personal Care_Soap,Snacks_Biscuits,Fruits_Grapes,Bakery_Cake"
62,"Household_Towel,Beverages_Soda,Fruits_Banana"
63,"Fruits_Banana,Dairy_Cream,Bakery_Croissant,Dairy_Butter,Fruits_Mango,Household_Dish Soap"
64,"Personal Care_Lotion,Fruits_Mango,Bakery_Cake,Snacks_Popcorn,Beverages_Soda,Personal Care_Deodorant,Personal Care_Soap"
65,"Personal Care_Deodorant,Personal Care_Lotion,Bakery_Bun,Personal Care_Shampoo,Household_Dish Soap,Beverages_Juice,Dairy_Cheese"
66,"Dairy_Butter,Fruits_Apple,Beverages_Soda"
67,"Dairy_Butter,Fruits_Banana,Fruits_Orange"
68,"Household_Detergent,Snacks_Chips,Beverages_Juice"
69,"Personal Care_Toothpaste,Beverages_Juice,Household_Mop,Dairy_Cheese,Beverages_Soda,Personal Care_Deodorant"
70,"Household_Towel,Snacks_Popcorn,Beverages_Tea,Snacks_Chocolate,Beverages_Juice,Household_Mop,Personal Care_Toothpaste"
71,"Dairy_Cheese,Fruits_Orange,Fruits_Banana"
72,"Fruits_Orange,Household_Toilet Paper,Snacks_Popcorn"
73,"Personal Care_Deodorant,Bakery_Cake,Dairy_Cheese"
74,"Household_Dish Soap,Fruits_Mango,Dairy_Milk,Household_Detergent"
